,title,director,genre,release_date,company,star_1,star_2,star_3
1739,Final Hour 2,Afam Okereke,Drama,2007,Simony Productions,Tonto Charity Dikeh,Nonso Diobi,Uche Jombo
1740,The Champ,Reginald Ebere,Drama,2004,Okija-Amaka Pictures,Hakeem Abdulrahman,Annette Adoghe,Val Agwulonu
1741,Showbiz,Chris Eneaji Eneng,Comedy,2017,Royal Arts Academy,Ruth Kadiri,Ik Ogbonna,Emem Ufot
1742,Ifeoma the Dirty Girl,Armani J. Armani,Comedy,2021,Enkays Production,Maicon Emeka,Chizoba Nwokoye,Precious Paul
1743,President Kuti,"Tope Adebayo,Ibrahim Yekini",Drama,2021,Corporate Pictures,Afeez Abiodun,Adeyemi Abisi,Light Aboluwodi
1744,Herdsmen,Toka McBaror,Drama,2022,"Empire Pictures One,Evolution Studio 66",Bukky Adi,Efe Irele,Nura M.C. Khan
1745,The Cure,Solomon Mac-Auley,Drama,2022,Rok Studios,Fred Amata,George Ezenwora,Nonso Ibiakwuma
1746,Ekaette,Lancelot Oduwa Imasuen,Drama,2006,Theatre Images,Eucharia Anunobi Ekwu,Uwem Bassey,Emeka Duru
1747,David,Lota Chukwu,Short,2021,Rixel Studios,Charles Etubiebi,Imoikor Joseph,
1748,Omoge Campus,Jide Kosoko,Comedy,2004,Latunde Films,Aisha Abimbola,Fathia Balogun,Sewa Coker
1749,Anger,Ernest David Idem,Drama,2020,Aflik Tv,Emeka Enyiocha,Witney John,Sonny McDon
1750,Tamed,Ifeanyi Ikpoenyi,Drama,2016,Sapphire Global Productions,Tana Adelana,Clarion Chukwura-Abiola,Lynda Clems
1751,True Colors,Biodun Stephen,Drama,2022,The Ogunmola Company,Ijenebe Anwuri,Esther Arcibong,Solomon Bryan
1752,Occultic Battle 2,MacCollins Chidebe,Drama,2005,Vine Concepts,Geraldine Ekeocha,Uche Elendu,Diewait Ikpechukwu
1753,London Forever,Chico Ejiro,Thriller,2004,Contech Films,Lilian Bach,Salako David,Chico Ejiro
1754,Gods of Liberation,Moses Ebere,Drama,2005,"Ariscole Invest Film,Somaco Ind.",Zulu Adigwe,Chika Anyanwu,Colombus Arosanga
1755,A Girl's Note,Chidinma Uzodike,Romance,2016,Ibaka TV,Theresa Edem,Ronke Odusanya,Kenneth Okolie
1756,Hey You!,Uyoyou Adia,Romance,2022,Anthill Studios,John Promise Adurable,Tunbosun Aiyedehin,Rita Anwarah
1757,The Unkind,Ekoja Michael Ijegwa,Drama,2015,"Bitwave Media,Defiant Films",Esther Audu,Kalu Ikeagwu,Hoomsuk Alex Jibril
1758,Insecure,Ben Cassie,Drama,2022,Moreplex,Peter Aderoju,Toosweet Annan,Etty Bedi
1759,Without Goodbye,Chijoke Edward Enenta,Drama,2009,Holyghost Production,Amaechi Muonagor,Oge Okoye,Florence Sunday
1760,Rings of Fire 2,Chika Onu,Drama,2005,Master-Mind Production,Chiwetalu Agu,Eucharia Anunobi Ekwu,Kanayo O. Kanayo
1761,Clash of Twins,Felix Yeboha,Drama,2009,Onye Eze Holding Production,Mike Ezuruonye,Mercy Johnson Okojie,
1762,Bless Me Father,Daniel Chukwueze,Drama,2016,Rok Studios,Ken Erics,Eve Esin,Mike Godson
1763,The 3 Sides,Akin-Tijani Balogun,Drama,2022,The Big Sistz Productions,Bimbo Ademoye,Ayo Adesanya Hassan,Segun Arinze
1764,Wiper,Julius K. Partor,Drama,2020,Nevada Bridge Productions,Ndidi Amadi,Kpakol Bethram,Jane Harcourt
1765,Helping Out,Chidi Anyanwu Chidox,Drama,2020,One & Two Productions,Chimkasinma King David,Amarachi Esther,Seleye Fubara
1766,Dream Again 2,Victor Okhai,Drama,2005,"Giant Merchants,Maranatha Pictures",Don Pedro Aganbi,Chioma Chukwuka Akpotha,Sam Iroka
1767,Wakili,Falalu A. Dorayi,Comedy,2019,Garkuwa Empire,Hadiza Aliyu,Tijjani Asase,Hauwa Ayawa
1768,Wet,Emmanuel Mang Eme,Drama,2018,Rok Studios,Tessy Accrah,Chris Akwarandu,Okafor Casmir
1769,Alase aye 2,Waheed Ijaduade,Drama,2006,Gemini Films & Marketing,Fausat Balogun,Yomi Fash-Lanso,Ebun Oloyede
1770,Ere Oran,Afeez Abiodun,Adventure,2022,QueenZee Films,Raheem Abdulwahab,Afeez Abiodun,Adebanke Adeyeye
1771,"Hello, Rain",C.J. 'Fiery' Obasi,Short,2018,"Fiery Film Company,Igodo films,Matanya Films",Keira Hewatch,Tunde Aladese,Ogee Nelson
1772,Okoro the Prince,Charles Uwagbai,History,2013,Creative Unit Studios,Edosa Imasuen,Efosa Imasuen,Sam Loco Efe
1773,Point Zero,Myde Glover,Short,2021,Magic Media Studios,Tayo Aderibigbe,Gabriel Adewole,Bisola Akindele
1774,A Break From Reality,"Boma Ilamina-Eremie,Luke Oyovbaire",Thriller,2018,"Belz360 Media,Luke Aire Films,Ruxspin Filmz Media",Iyke Adiele,Kayode Aiyegbusi,Jackline Assenga
1775,Idajo iboji,Akeem Ajala,Drama,2006,Adio Films International,Toyin Afolayan,Bimbo Akinsanya,Jide Kosoko
1776,White Hunters,Afam Okereke,Comedy,2010,Simony Productions,Halimar Abubakar,Abiodun Adeboye,Ruth Agholor
1777,Four Sisters,Simi Opeoluwa,Drama,2008,Danga Movies International,Kingsley Peter Amaefule,Rita Arum,Osuji Chike
1778,11 Days 11 Nights,Kabat Esosa Egbon,Drama,2005,"Somaco Ind.,Uche 10 Nigeria",Dakore Akande,Toyin Alausa,Frank Ani
1779,Last Duty 2,Ikechukwu Odife,Drama,2005,Dubem Holdings,Ebube Nwagbo,Tony Umez,
1780,Village Destroyers 2,Ugo Ugbor,Comedy,2007,Global Update Pictures,Kenneth Okonkwo,Alex Usifo Omiagbo,Prince Emeka Ani
1781,Paradise to Hell,Theodore Anyanji,Drama,2005,Nwaeze Investment,Ngozi Ezeonu,Charles Lawson,Ramsey Nouah
1782,The Catalyst,Great Valentine Edochie,Drama,2022,"Rok Studios,Studio Magic",Gbubemi Ejeye,Chinelo Ejianwu,P. John Emeng
1783,Òkú tee sin 2,Kunle Afod,Drama,2004,B. Sunny Ventures,Funso Adeolu,Bolaji Amusan,Fathia Balogun
1784,My School Prefect 2,"Ebube Nwabueze,Nonso Ekene Okonkwo",Drama,2007,Aka God Productions,Ikem Chude,Yvonne Jegede,Ofia Afuluagu Mbaka
1785,Sticks and Love,Emeka Chukwuleta,Short,2019,Schucks Media,Uyoyou Adia,Rita Edward,Ezekiel Ibanga
1786,Things We Do in the Shadow,Okey Ifeanyi,Drama,2022,"Harmer Brooks Movies,Rok Studios",Innocent Abah,Caroline Abua,Kunle Adenle
1787,Cry Baby,Tchidi Chikere,Drama,2006,Oakfil Productions,Ini Edo,Mike Ezuruonye,Ebele Okaro-Onyiuke
1788,Vanity,Emeka Bishop Nwabunze,Drama,2022,North Star Studios,Uzor Arukwe,Patrick Diabuah,Kachi Nnochiri
1789,Insight,Paul Iheanyichukwu Igwe,Drama,2022,African Movie Channel,Joseph Momodu,Ego Nwosu,Felix Ugo Omokhodion
1790,Burning Desire,Victor Okpala,Drama,2021,African Movie Channel,Uchenna Nnanna,Calista Okoronkwo,Nosa Rex
1791,Long Shadow,Sadiq Sule,Drama,2021,Certified Films,Frankincense Eche-Ben,Bryan Emmanuel,Etomi Okoka
1792,Going on 35,Great Valentine Edochie,Drama,2023,Rok Studios,Daniel Abua,Paschaline Alex,Darlington Amadi
1793,Hell or High Water,Oluseyi Asurf,Short,2016,Asurf Films,Tunbosun Aiyedehin,Godslight Brown,Cynthia Chika Okeke
1794,Least Expected,Paul Apel Papel,Drama,2019,"Rok Studios,Uzee Multi Concept",Nonso Diobi,Princess Nkechi Edeali,Ayo Emmanuel
1795,A Toast to Heartbreak,Okey Ifeanyi,Drama,2018,Rok Studios,Ruth Kadiri,Moyo Lawal,Mercy Obaka
1796,A Second Time,Chico Ejiro,Drama,2004,Grand Touch Pictures,Bimbo Akintola,Lilian Bach,Shan George
1797,Apala,"Tope Adebayo,Adebayo Tijani",Drama,2021,Adekaz Productions,Tope Adebayo,Lateef Adedimeji,Ayanfe Adekunle
1798,Dirty Sunday,Saheed Apanpa,Drama,2022,Monomania Entertainment,Kehinde Bankole,Eddy Oboh,Quadri Qidad
1799,Love Triangle,Emeka Dibia Emelobe,Drama,2017,Ibaka TV,Bimbo Ademoye,Daniel Eronlan,Chelsea Eze
1800,Sareena,Ali Nuhu,Drama,2019,Maishadda Global Resources,Shamsu Dan Iya,Ali Nuhu,Umar M. Shareef
1801,Atelewo eda,Ayo Olasukanmi,Drama,2008,Otunba Film,Bayo Adu,Laide Bakare,Femi Branch
1802,Forbidden Love,Stanley Obi,Drama,2023,Rok Studios,Moji Afolayan Olayiwola,Morawo Bukola,Ayoade Dada
1803,Dance to My Beat,Paul Iheanyichukwu Igwe,Romance,2017,M-Laz Production,Toyin Abraham,Lilian Afegbai,Kaycee Alafonye
1804,Deserted Home,Isaac Obinua Nnaji,Drama,2004,Vic Mary International,Rychardo Agbor,Tony Akposeri,Ngozi Ezeonu
1805,Flirting with Fifty,Tissy Nnachi,Drama,2017,Az-Don Entertainment,Onyii Alex,Grace-Charis Bassey,Sonny McDon
1806,Discontent,Onesoul,Drama,2017,Heatfactory,Joy Ada,Seun Akindele,Shaffy Bello
1807,Lies in Between,Emeka Madu,Comedy,2021,House of Shadez,Rosemary Abazie,Bimbo Ademoye,Ayo Adesanya Hassan
1808,Strength to Strength 2,Ugezu J. Ugezu,Drama,2008,P. Collins Productions,Tonto Charity Dikeh,Mike Ezuruonye,Mercy Johnson Okojie
1809,Fire on the Mountain,Chika Onu,Action,2002,"Cobic Productions,Lucky Star Incorporated",Fabian Adibe,Chiwetalu Agu,Pete Eneh
1810,Midnight,Babatunde Akinnayajo,Drama,2019,Unique Motion Media Konsult,Funso Adeolu,Kehinde Bankole,Wole Ojo
1811,Little Drops of Happy,Grace Edwin-Okon,Drama,2017,"Derwin Productions,Pinnacle Medical Services",Osas Ighodaro,Ayoola Ayolola,Mercy Aigbe
1812,Roti,Kunle Afolayan,Drama,2017,Africa Magic Original Films,Darimisire Afolayan,Kunle Afolayan,Omoladun Afolayan
1813,Chain,Awal Abdulfatai Rahmat,Drama,2022,Cynthia Shalom Productions,Chisimdi Benjamin,Andre Ibe,Dineo Mofammere
1814,Cheta,Chidi Anyanwu Chidox,Drama,2021,Rok Studios,Princess Anyaso,Franca Brown,Chioma Obi
1815,Lonely Life 2,Felix Okoro,Drama,2006,Kidex Investment Ltd.,Pete Eneh,Amaechi Muonagor,Raphael Ogbaje
1816,Lockdown,Moses Inwang,Thriller,2021,Sneeze Films,Jide Kene Achufusi,Omini Aho,Chioma Chukwuka Akpotha
1817,Ago Alaago,Toyin Abraham,Drama,2021,Toyin Abraham Productions,Idris Abereoje,Motunrayo Adebayo,Alaba Adegboyega
1818,Not Your Wealth,Ndubuisi Okoh,Drama,1999,Chullins Investment,Chiege Alisigwe,Peter Bunor,Pete Eneh
1819,Obidike,Ubaka Joseph Ugochukwu,Drama,2022,Karr Resources Entertainment,Emeka Ani,Chigozie Atuanya,Maureen Okpoko
1820,On My Honour,Samuel Ogunbiyi,Comedy,2021,"Eight2Five Production,Golden Heritage Films",Tony Akposeri,Fred Amata,Ada Ameh
1821,Weekend Getaway,Desmond Elliot,Comedy,2012,Emem Isong Production,Pat Akpabio,Monalisa Chinda,Emeka Duru
1822,Two Peas,Ben Cassie,Comedy,2022,One & Two Films,Alison Adeeyinwo,Austine Amechi,Ifeoma Amechi
1823,Something Fishy,Francisca Eleyele,Comedy,2022,Rok Studios,Pamilerin Ayodeji,Adekanla Desalu,Frankincense Eche-Ben
1824,Hannah's Plight,Stanfame Ajalaja Stanley,Drama,2020,Green Neighborhood Films,Lovelyn Christian,Bella Egbe,Yvonne Jegede
1825,The Injury,Ilochi Olisaemeka,Drama,2015,Ebanky Global Production,Onochi Agbor,Ifeanyi Amobi,Esther Audu
1826,Inale,Jeta Amata,Musical,2010,"BIK Entertainment,Jeta Amata Concepts",Mbong Amata,Awuese Awunde,Caroline Chikezie
1827,Eleda Mi,Sos,Short,2021,SOS,Obisco,,
1828,Pipiro,Tchidi Chikere,Comedy,2003,Magic Movies Production,Osita Iheme,Chinedu Ikedieze,Sam Loco Efe
1829,Pandora's Box,Tope Alake,Drama,2019,Rok Studios,Chimezie Imo,Seun Sean Jimoh,Uche Nwaefuna
1830,Love & Lies,Chidi Chijioke,Drama,2022,One & Two Productions,Chike Daniel,Ola Daniels,Regina Daniels
1831,Dry Scorpion 2,Emeka Jonathan,Drama,2007,Guniks Investment,Kenny Godfrey Achionye,Chiwetalu Agu,Monalisa Chinda
1832,Entangled Guilt,Saheed Apanpa,Drama,2022,Apanpa Pictures Media,Roxy Antak,Esther Audu,Emeka Darlington
1833,Love Story,Kingsley Omoefe,Drama,2005,Oakfil Productions,Ejike Asiegbu,Rita Dominic,Francis Duru
1834,Neighbour's Wife,Emmanuel Mang Eme,Drama,2017,Image Filmworks,Alexx Ekubo,Vicky Cals Henry,Laurel Je
1835,Silhouette,Best Okoduwa,Drama,2022,"Peach Essence TV,Savvy Minaz Nigeria",Sunday Aaron,Ayo Adesanya Hassan,Elvis Duke
1836,Secrets of the Night 2,Theodore Anyanji,Drama,2007,Snude Entertainment,Chiege Alisigwe,Clarion Chukwura-Abiola,Amaka Ezeamaka
1837,Father and Son,Onyeka Ezejiofor,Comedy,2022,Moreplex,Etty Bedi,Onyinye Chukwu,Enock Darko
1838,Over Her Dead Body,Sola Osofisan,Drama,2022,Pen Pusher Productions,Adenike Ayodele,Patrick Fakoya,Onyeka Fiaka
1839,Jump and Pass,Desmond Elliot,Comedy,2014,Closer Pictures,David Azeez,Grace-Charis Bassey,Anita David
1840,Ghetto Queen,Moses Inwang,Drama,2013,Zedzee Multimedia,John Dumelo,James Gardiner,Marian Kekurah
1841,King of Kings 3,Iyke Odife,Drama,2009,Angelcom Entertainment,Uju Aroh,Jim Iyke,Nuella Njubigbo
1842,End of Battle 2,Afam Okereke,Drama,2006,Immortal Films,Olu Jacobs,John Paul Nwadike,Patience Ozokwor
1843,Love My Way,Ikechukwu Onyeka,Drama,2008,Great World Entertainment,Genevieve Nnaji,Jim Iyke,Kalu Ikeagwu
1844,Ayaka,Ikechukwu Onyeka,Comedy,2016,Peculiar Communications,Tana Adelana,Funny Bone,Chika Chukwu
1845,Last Meeting,Ben Emeh,Drama,2003,C.Y.O. Research,Ricky Ezeh,Diewait Ikpechukwu,Ndidi Obi
1846,The Relationship,Rukky Sanda,Drama,2018,Rukky Sanda Studios,Banke Adewunmi,Edward Chukwuma-Jiah,Jennifer Eliogu
1847,Rant Queens,Lancelot Oduwa Imasuen,Drama,2019,Genesis Deluxe Cinemas,Tana Adelana,Kunle Coker,Daniel K. Daniel
1848,14 Days,Chinneylove Eze,Drama,2020,ChinneyLove Eze Production,Uzor Arukwe,Uzo Davies,Karsten Erimu
1849,Before Valentine's,Michelle Bello,Romance,2022,Ivedia Hub,Baaj Adebule,Temidayo Adenibuyan,Venita Akpofure
1850,Shattered Illusion,John Uche,Drama,2004,Reemmy Jes Production (RJP),Dakore Akande,Justus Esiri,Ngozi Ezeonu
1851,Titanic Tussle,"Andy Amenechi,Arinze Ezeanyaneche",Drama,2007,"A-Z Production,Project Nollywood Productions",Fred Akaigwe,Eucharia Anunobi Ekwu,Bassey Ekpo Bassey
1852,A Hotel Called Memory,Akin Omotoso,Drama,2017,Temple Productions,Abdi Hussein,Yoma Adedolun Adebiyi,Kemi Lala Akindoju
1853,Every Single Day,Tchidi Chikere,Comedy,2005,Emmalex Associates Ltd.,Enebeli Elebuwa,Ebele Okaro-Onyiuke,Oge Okoye
1854,Flame,Tope Alake,Drama,2018,Apreel Ventures,Tana Adelana,Hakeem Ajibola,Seun Akindele
1855,Heat of the Moment 2,Prince Samson Onyejiuwa,Drama,2009,Tony Iyke Sight & Sound,Emeka Ike,Mercy Johnson Okojie,Kofi Adjorlolo
1856,Avenger,Bature Zambuk,Action,2021,M.M. Haruna Film Production,Abba El-Mustapha,Tijani Faraga,M.M. Haruna
1857,Critical Truth,Obi Callys Obinali,Drama,2008,"Ginnorris Industries,Kolosia Resources",Patience Ozokwor,Monalisa Chinda,Mary Remmy
1858,You & I Forever 2,MacCollins Chidebe,Drama,2005,Chez International,Emeka Ike,Patience Ozokwor,
1859,The Game,Austine Onyema,Drama,2022,Uche Nancy Production,Glamor Afaiko,James Akporero,Chima Amadi
1860,Deep Loss,Tarila Thompson,Drama,2004,Elonel International Ltd.,Eucharia Anunobi Ekwu,Desmond Elliot,Jim Iyke
1861,Restless,Okey Ifeanyi,Drama,2021,Rok Studios,Jessica Anagor,Angela Benjamin,Mazi Omeh Honest
1862,Most Wanted Bachelor 2,Afam Okereke,Drama,2007,Get-Rich Production,Monalisa Chinda,Ini Edo,Uche Elendu
1863,Untouched,Tagbo Ifechukwu Ability,Drama,2021,Rok Studios,Chinwe Craig,Mofe Duncan,Akin Lewis
1864,Strength of Love,Igwe Ikechukwu,Drama,2018,WH Productions,Fortune Daniels,Queen Tessy Eze,Queeneth Hilbert
1865,Immaterial 2,Tchidi Chikere,Drama,2007,"Annex Merchandise Ltd.,Nwafor Anayo Production",Pat Attah,Rita Dominic,Oby Edozieh
1866,Last Girl Standing 2,John Uche,Drama,2004,"Konia Concept,P.M.O. Global",Jim Iyke,Stephanie Linus,Empress Njamah
1867,Perfectly Flawed,Chris Eneaji Eneng,Drama,2015,Multichoice Studios,Teniola Aladese,Khing Bassey,Daniel K. Daniel
1868,Aftermath,Charles Brain Nnoshiri,Drama,2017,Synergy Studios,Seun Akindele,Richard Amechi,Bryan Emmanuel
1869,The Kingdom Legend,Charles Brain Nnoshiri,Drama,2020,"Rich-Rock Productions,Rok Studios",Grace-Charis Bassey,Caz Chidiebere,Chibuikem Darlington
1870,Clash of Twins 2,Felix Yeboha,Drama,2009,Onye Eze Holding Production,Mike Ezuruonye,Mercy Johnson Okojie,
1871,Sleek Ladies 2,Tchidi Chikere,Drama,2007,"Annex Merchandise Ltd.,Nwafor Anayo Production",Ini Edo,Rita Dominic,Link Edochie
1872,Aso Ásiri,Sunday Soyinka,Horror,2002,Bonag Industries Nigeria,Aderemi Adedeji,Oluwole Adedeji,Mutiu Adeoye
1873,Unroyal,Moses Inwang,Comedy,2020,Matilda Lambert Productions,Kingsley Abasili,Weme Charity Ada,Femi Adebayo
1874,Dark Secret,Emmanuel Oguguah,Drama,2004,Contech Films,Ayo Adesanya Hassan,Saidi Balogun,Nii Saka Brown
1875,Saint Oyinda,Okey Ifeanyi,Drama,2022,Rok Studios,Zara Abubakar,Bimbo Ademoye,Fred Amata
1876,The World of Riches 2,Ifeanyi Ikpoenyi,Drama,2006,Deraco Productions,Clarion Chukwura-Abiola,Clem Ohameze,Ngozi Ezeonu
1877,The Scorpion God 2,Nonso Ekene Okonkwo,Drama,2007,Sea-World Movies,Sam Dede,Mercy Johnson Okojie,Stan K. Amandi
1878,Trouble Sleep...,Kemi Adetiba,Crime,2021,Kemi Adetiba Visuals,Sola Sobowale,Osas Ighodaro,Toni Tones
1879,Dangerous Babe,Chico Ejiro,Drama,2003,Grand Touch Pictures,Ayo Adesanya Hassan,Regina Askia,Paul Obazele
1880,Izzatu,Ali Gumzak,Drama,2020,Gumzak Multimedia,Hafsat Bala,Ramadan Booth,Ladidi Fagge
1881,Domestic Accident,Luke Oyovbaire,Short,2018,Luke Aire Films,Chima Precious,,
1882,Lonely Princess,Emeka Nwosu,Drama,2011,Great Movies Ind. Ltd.,Iyke Al Orji,Nwabunwanne Clement,Sochima Ezeoke
1883,Two Become One 2,Andy Chukwu,Drama,2004,Mosco International,Chioma Chukwuka Akpotha,Emeka Ike,Patience Uzokwu
1884,Jénífà,Muhydeen S. Ayinde,Drama,2008,Olasco Films,Tope Adebayo,Odunlade Adekola,Owolabi Adelaja
1885,Power of Tomorrow,Saheed Apanpa,Drama,2015,Mother of Models Production,Nnenna Abani,Amina Abdulsalam,Paula Achiche
1886,Life Incidence,Iyke Odife,Drama,2008,Paulsco Movies Int'l Ltd.,Jim Iyke,Mike Ezuruonye,Ebube Nwagbo
1887,Naomi's Dilemma,Desmond Elliot,Drama,2017,"Denziot Pictures,Rok Studios",Bimbo Ademoye,Ramsey Nouah,Chioma Nwosu
1888,Atupa,Sharafadeen Olabode,Drama,2021,Mayowa Dosu Production,Motunrayo Adebayo,Ademola Adebowale,Seilat Adebowale
1889,Ajeji,Genesis Williams,Short,2017,Ficson Films,Perpetua Adefemi,Makinwa Adeola,Femi Amusan
1890,Price of Ignorance 2,Chika Onu,Drama,2005,Valseco Industries,Colombus Arosanga,Pete Edochie,Pete Eneh
1891,Annabel 2,Ekenna Udo Igwe,Drama,2004,Emmalex Associates Ltd.,Dakore Akande,Enebeli Elebuwa,Obey Etok
1892,Men on Hard Way,Obi Okoli,Drama,2007,I.G. Best Industries,Obi Okoli,Hanks Anuku,Maureen Solomon
1893,When Sparks Fly,Umanu Elijah,Drama,2022,Ovi Studios,Tana Adelana,Bimbo Ademoye,Bobby Ekpe
1894,Baby Maker,Orimz,Romance,2023,90s Entertainment Production,Bolaji Ogunmola,Kunle Remi,Adaora Udeh
1895,A Matter of Chance,Akin-Tijani Balogun,Drama,2019,"Closer Pictures,Rok Studios",Balogun Adebayo,Monday Alozie,Abayomi Alvin
1896,Stronger Than Pain,Tchidi Chikere,Comedy,2007,O. Gabby Innovations,Nkem Owoh,Kate Henshaw-Nuttal,Austin Faani Ikechukwu
1897,Tomorrow Lives Again 2,Sunday Vincent,Drama,2006,Bonag Industries Nigeria,Justus Esiri,Charles Okafor,Maureen Solomon
1898,Pages in Between,Richards Omos-Iboyi,Drama,2019,Gloria Okafor Productions,Esther Audu,Bryan Emmanuel,Kalu Ikeagwu
1899,Contractors,Tunji Bamishigbin,Drama,2003,Infinity Films,Ayo Adesanya Hassan,Bimbo Akintola,Segun Arinze
1900,Cover Up,Kalu Anya,Drama,2007,"Charles UK Studio Production,Paulo International",Richard Amechi,Ndee Amugo,Eucharia Anunobi Ekwu
1901,Ebuwa,Lancelot Oduwa Imasuen,Thriller,2009,Lancewealth Image,Shine Francis Odigie,Johnbull Eghianruwa,Ehi Buckler Isibor
1902,Clash of Secrets,Cyril Jackson,Drama,2016,Rok Studios,Jibola Dabo,Bridget Emovon,Moyo Lawal
1903,Big Hit,Arinze Egesemba,Drama,2007,Divine Merchant,Eucharia Anunobi Ekwu,Kanayo O. Kanayo,Clem Ohameze
1904,Power of Love,Tarila Thompson,Drama,2002,Elonel International Ltd.,Ramsey Nouah,Genevieve Nnaji,Steph-Nora Okere
1905,Ifenkili,Eghosa Isibor,Comedy,2021,Rok Studios,Uzor Arukwe,Emma Ayalogu,Sandra Eke
1906,Devil's Workshop,Willie Adah Ajenge,Drama,2007,Cosnoris International,Stephanie Linus,Ufuoma McDermott,Saint Obi
1907,When Perfect Feels Wrong,Daniel Oriahi,Drama,2022,"House 5 Production,Rok Studios",Baaj Adebule,Ijeoma Grace Agu,Goodness Emmanuel
1908,Three Brothers,Muyiwa Aluko,Drama,2019,"Rok Studios,Watts Camera Action",Somadina Adinma,Chinonso Arubayi,Ngozi Ezeonu
1909,The Good Husband,Emeka Madu,Drama,2019,"Oakfil Productions,iROKOtv",Blessing Agbor,Frankincense Eche-Ben,Angela Eguavoen
1910,Katakata,Newton Barabara,Action,2021,"Newton Barbara Studios,Main Man Films,Pedras Productions",Mercy Akanyak,Chiege Alisigwe,Newton Barabara
1911,Beyond Desire 2,Nonso Emekaekwue,Drama,2009,Vincemek Productions,Nonso Diobi,Lilian Dizo,Pastor Lawrence
1912,Tomorrow Must Wait 2,Ikechukwu Onyeka,Drama,2008,Naidon Films,Nadia Buari,Nonso Diobi,Omotola Jalade-Ekeinde
1913,Land of Shadows,Zack Orji,Drama,2009,Sky Entertainment,Quinta Eyong Ashu,Jim Iyke,Lynno Lovert
1914,Palace Slave 3,Emeka Nwosu,Drama,2010,Great Movies Ind. Ltd.,Nonso Diobi,Sochima Ezeoke,Mike Ezuruonye
1915,Tunnel,Stanlee Ohikhuare,Drama,2014,"Derwin Productions,Mighty Jot Studios,Parables Entertainment",Femi Akeredolu,Lepacious Bose,Patrick Harry Doyle
1916,Escape,Afam Okereke,Drama,2004,Great Movies Ind. Ltd.,Chiwetalu Agu,Ngozi Ezeonu,Muna Obiekwe
1917,Brass Bells,Tunde Kelani,Drama,1999,Mainframe Film and Television Productions,S. Ade Abiodun,Laide Adewale,Bose Adewoyin
1918,Love in a Bit,Omoruyi Wallz Efosa,Romance,2021,One & Two Films,Oge Anieke,Jenny Chidiobi,Sandra Eke
1919,Matters Arising,Pascal Amanfo,Comedy,2014,Ruth Kadiri's Production,Mercy Akanyak,Pascal Amanfo,Johnson Chineye
1920,Explosion: Now or Never,Teco Benson,Action,2006,TFP Global Network,Kuburat Agboola,Owen Agudiegwu,Chiege Alisigwe
1921,Unwise King,Samuel Obiora,Drama,2018,Rok Studios,Onyii Alex,Oddman Emeka Aneke,Angela Eguavoen
1922,Mr & Mrs,Ikechukwu Onyeka,Drama,2012,Peculiar Communications,Joseph Benjamin,Beauty Benson,Babajide Bolarinwa
1923,Deadly Plot,Theodore Anyanji,Drama,2012,Divine Touch Productions,Halimar Abubakar,Mary Ann Apollo,Femi Brainard
1924,D-I-D,Badewa Ajibade,Short,2020,Born Regal Films,Ibrahim Jammal,Treasure Obasi,
1925,Benevolence,Doris Ariole,Drama,2016,Hadassah Studios,Tahiru Magari Bairu,Tessy Brown,Lola Elegbede
1926,Zoza,Amayo Uzo Philips,Drama,2006,Reemmy Jes Production (RJP),Chiwetalu Agu,Esther Aikpokpoje,Chioma Chukwuka Akpotha
1927,Mirror of Beauty 2,Okey-Zubelu Okoh,Drama,2008,Atlantic Overseas Production,Mike Ezuruonye,Chika Ike,Olu Jacobs
1928,Sister's Love 2,Lancelot Oduwa Imasuen,Drama,2008,Elonel International Ltd.,Fred Aresoma,Jennifer Eliogu,Olu Jacobs
1929,A Fool at 40,Franklin Chinedum Nwoko,Comedy,2006,Okwytex Ventures Ltd.,David Ihesie,Sam Loco Efe,Chinyere Madubuike
1930,The Dreamer 3,Sunday Nnajiude,Comedy,2006,Emmalex Associates Ltd.,Eucharia Anunobi Ekwu,Sam Loco Efe,Nkem Owoh
1931,Hidden Secrets 2,Henry Czar Ejeta,Drama,2006,Don-Nkems Investment,Chioma Chukwuka Akpotha,Fred Aresoma,Ashley Nwosu
1932,Don't Wanna Be a Player,Ikenna Aniekwe,Drama,2008,Ossy Affason Production,Ikenna Aniekwe,Ifeanyi Azodo,Onyi Balla
1933,Monster Under Skin,Ekenna Udo Igwe,Drama,2015,Purple Ribbon Entertainment,Esther Audu,Juliet Ibrahim,Frederick Leonard
1934,End of Evil Doers,Prince Emeka Ani,Drama,2007,"Simony Productions,Sylvester Obadigie Film",Fabian Adibe,Chiwetalu Agu,Linus Ani
1935,Somara,Derek Godfrey,Drama,2020,Oni Empire,Bimbo Ademoye,Tony Goodman,Frederick Leonard
1936,Wind of Glory 3,Tchidi Chikere,Drama,2007,Annex Merchandise Ltd.,Genevieve Nnaji,Desmond Elliot,Ofia Afuluagu Mbaka
1937,Blood Apart 2,Ikenna Aniekwe,Drama,2007,Ossy Affason Production,Chioma Chukwuka Akpotha,Pete Edochie,Yul Edochie
